Horas,Carga,GerSolar,CargaVE,Previsao
0.0,2.5,0.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0
0.5,7.5,0.0,0.0,0.0
0.75,2.5,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0
1.25,2.5,0.0,0.0,0.0
1.5,5.0,0.0,0.0,0.0
1.75,7.5,0.0,0.0,0.0
2.0,2.5,0.0,0.0,0.0
2.25,5.0,0.0,0.0,0.0
2.5,7.5,0.0,0.0,0.0
2.75,2.5,0.0,0.0,0.0
3.0,5.0,0.0,0.0,0.0
3.25,7.5,0.0,0.0,0.0
3.5,10.0,0.0,0.0,0.0
3.75,10.0,0.0,0.0,0.0
4.0,7.5,0.0,0.0,0.0
4.25,10.0,0.0,0.0,0.0
4.5,5.0,0.0,0.0,0.0
4.75,7.5,0.0,0.0,0.0
5.0,10.0,0.0,0.0,0.0
5.25,2.5,1.25,0.0,1.25
5.5,5.0,2.5,0.0,2.5
5.75,7.5,3.75,0.0,3.75
6.0,10.0,5.0,0.0,5.0
6.25,32.5,6.25,0.0,6.25
6.5,55.0,7.5,0.0,7.5
6.75,77.5,8.75,0.0,8.75
7.0,100.0,10.0,0.0,10.0
7.25,200.0,32.5,0.0,32.5
7.5,300.0,55.0,0.0,55.0
7.75,400.0,77.5,0.0,77.5
8.0,500.0,100.0,0.0,100.0
8.25,400.0,325.0,0.0,325.0
8.5,300.0,550.0,0.0,550.0
8.75,200.0,775.0,0.0,775.0
9.0,100.0,1000.0,0.0,1000.0
9.25,77.5,1250.0,0.0,1250.0
9.5,55.0,1500.0,0.0,1500.0
9.75,32.5,1750.0,0.0,1750.0
10.0,10.0,2000.0,0.0,1750.0
10.25,257.5,2250.0,0.0,2250.0
10.5,505.0,2500.0,0.0,2500.0
10.75,752.5,2750.0,0.0,1750.0
